title,artist
Stay Together (Baby Baby),Joel Corry And Pickle Feat. Vula
All I Need,"Kito, Chrome Sparks And IS U IS U"
Good Luck (Circadian Remix),Basement Jaxx
"Okay, Fine","Odd Mob, OMNOM And HYPERBEAM"
Summertime Blues,Chris Lake And Sammy Virji Feat. Nathan Nicholson
Dust,Galantis
Embers,Hayla
Energy In My Town,Issey Cross
Espresso,Sabrina Carpenter
Right Here,Becky Hill
All My Life,Charlie Boon
Neverender,Justice And Tame Impala
On Again,Mau P
Nightshift,Charlotte Plank
Illusion,Dua Lipa
Never Let Me Down,KLP
Go Back,John Summit And Sub Focus Feat. Julia Church
In My Bones,Lost Frequencies And David Kushner
Honey (Mura Masa Euphoria Remix),Troye Sivan
All My Ladies,Baauer
Lift You Up,LF System
Know Me Better,Vikkstar And Masked Wolf Feat. JME
Chase It (Mmm Da Da Da),Bebe Rexha
Lunch,Billie Eilish
Music On The Radio,Empire Of The Sun
Get Busy (Odd Mob Club Mix),Sean Paul
My City,Tiesto And PROPHECY
Midnight,Vassy
Heatstroke,Aluna And Paul Woolford
Places To Be,"Fred again.., Anderson.Paak And Chika"
Falling For You,Hako
Sun Comes Up,Timmy Trumpet And Sam Feldt Feat. EKKO And Joe Taylor
360,Charli XCX
I Can't Lose You,Confidence Man
"She's Gone, Dance On",Disclosure
Girl$,Dom Dolla
Lioness,Swedish House Mafia Feat. Niki and the Dove
Honey Boy,"PurpleDiscoMachine,BenjaminIngrosso,NileRodgersShenseea"
Zeros,Casso And Jazzy Feat. Headie One
I Love You,Harry Hayes
Heat,Tove Lo And SG Lewis
Kisses,BL3SS And CamrinWatsin Feat. bbyclose
I Don't Wanna Wait,David Guetta And OneRepublic
Cherry Blossom,Empire Of The Sun
Girls,TSHA Feat. Rose Gray
Bring Me Joy,Rudimental And Karen Harding
Music Is Better,Rufus Du Sol
Lights Go Out,What So Not And Benson Feat. Lucy Lucy
Satisfaction,Darius Syrossian And Eve
A Little Closer,Diffrent
Paradise,D.O.D Feat. Ina Wroldsen
Deep Diving,Hayden James Feat. SHELLS
Library,Boone
Come Thru,KLP
Stop Us Dancing,Mason Flint
Too Many Questions,Nero
It's A Feeling,"Sigala, Trevor Daniel And 24KGoldn"
Luv Stuck,salute Feat. piri
Mbappe,Sudley Feat. Liam Bailey
City Lights,"Armin van Buuren, VIZE And Leony"
Fall At Your Feet,CYRIL And Dean Lewis
Life,Jamie xx Feat. Robyn
Move,"Adam Port, Stryv And Keinemusik Feat. Orso And Malachii"
I Adore You,"Hugel, Topic And Arash Feat. Daecolm"
My Oh My,"Kylie Minogue, Bebe Rexha And Tove Lo"
Call On Me,Regard
Paradise,SG Lewis And Loods
Patience,Hayden James Feat. Karen Harding
Chills (Feel My Love),"Oliver Heldens, David Guetta And FAST BOY"
Free,Calvin Harris And Ellie Goulding
Don't Stop The Music,"Dimitri Vegas, Vin Diesel And Zion"
Somedays,"Sonny Fodera, Jazzy And D.O.D"
Apple,Charli XCX
If I Stay,Disciples And Delilah
Lately,Rufus Du Sol
Break It Down,Wilkinson Feat. Emily Makis
So What,Confidence Man
Backbone,Chase and Status And Stormzy
Boost Up,FISHER And Flowdan
Wildfire,Sub Focus
Ain't Giving Up,Duke Dumont Feat. Clementine Douglas
Edge Of Saturday Night,The Blessed Madonna And Kylie Minogue
Upside Down,"Robin Schulz, Joel Corry and KOPPY"
Rave Day (Happy),Wuki
Skyscanner,Beyond Chicago And Example
Take Your Vibes And Go,"Kito Feat. Kah-Lo, Brazy And Baauer"
Jungle,1991 Feat. Alex Hosking
Sunshine,Elderbrook And Snakehips
Find The Way,Peggy Gou
All In,Hayden James
Angel,"Dimension, Sub Focus And NGHTMRE"
Finally,Swedish House Mafia And Alicia Keys
Indestructible,Andy C And Becky Hill
Too Cool To Be Careless,PAWSA
Double Vision,Skepsis And Brodie
Never Going Home Tonight,David Guetta And Alesso Feat. Madison Love
Higher,Nathan Dawe And Joel Corry Feat. SACHA
Lost,Running Touch
Talk Talk Remix,Charli XCX And Troye Sivan
Another World,Meduza Feat. Hayla
Break My Love,Rufus Du Sol
Body Type (NEW),Badger And Icona Pop
Medicine (NEW),Hayden James Feat. Izzy Bizu
All My Life (NEW),Purple Disco Machine And The Magician
Blew My Life Up (feat Julia Church),CamrinWatsin
Jet Setter,Dillon Francis & Yeah Boy
JOY (By My Side),Joy Anonymous & Sammy Virji
Control,Confidence Man
Shades,Snakehips & Absolutely
Across The Tracks,Mashd N Kutcher
CAVE,Dom Dolla & Tove Lo
World Gone Wild (feat Sam Martin),Robin Schulz & CYRIL
Pressure,RUFUS DU SOL
24 (Turn It Up) (+6),ANOTR
Merther,MauP
Sunshine,Sheppard x Jolyon Petch
